"state","abbr","low","murder","tc2009"
"Alabama","AL",-27,7.1,4337.5
"Alaska","AK",-80,3.2,3567.1
"Arizona","AZ",-40,5.5,3725.2
"Arkansas","AR",-29,6.3,4415.4
"California","CA",-45,5.4,3201.6
"Colorado","CO",-61,3.2,3024.5
"Connecticut","CT",-32,3,2646.3
"Delaware","DE",-17,4.6,3996.8
"Florida","FL",-2,5.5,4453.7
"Georgia","GA",-17,6,4180.6
"Hawaii","HI",12,1.8,3942.8
"Idaho","ID",-60,1.5,2255.6
"Indiana","IN",-36,5.3,3672
"Iowa","IA",-47,1.3,2730.9
"Kansas","KS",-40,4.7,3661.4
"Kentucky","KY",-37,4.3,2824
"Louisiana","LA",-16,12.3,4449.2
"Maine","ME",-48,2,2525
"Maryland","MD",-40,7.7,3788.4
"Massachusetts","MA",-35,2.7,2794.8
"Michigan","MI",-51,6.3,3360.7
"Mississippi","MS",-19,6.9,3642.6
"Missouri","MO",-40,6.6,3922.9
"Montana","MT",-70,3.2,2827.9
"Nebraska","NE",-47,2.5,3183.9
"Nevada","NV",-50,5.9,3765
"New Hampshire","NH",-47,0.9,2452.9
"New Jersey","NJ",-34,3.7,2386.5
"New Mexico","NM",-50,10,4518.8
"New York","NY",-52,4,2313
"North Carolina","NC",-34,5.4,4143.7
"North Dakota","ND",-60,2,2232.2
"Ohio","OH",-39,5,3695.1
"Oklahoma","OK",-27,6.5,4148.2
"Oregon","OR",-54,2.3,3248.5
"Pennsylvania","PA",-42,5.4,2608.1
"Rhode Island","RI",-25,3,2870.9
"South Carolina","SC",-19,6.7,4562.2
"South Dakota","SD",-58,3.6,2026.2
"Tennessee","TN",-32,7.4,4432.6
"Texas","TX",-23,5.4,4508.6
"Utah","UT",-69,1.4,3525
"Vermont","VT",-50,1.3,2577.2
"Virginia","VA",-30,4.7,2686.1
"Washington","WA",-48,2.8,4083.9
"West Virginia","WV",-37,4.9,3037.4
"Wisconsin","WI",-55,2.6,2872.3
"Wyoming","WY",-66,2,2833.2
